Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin_140	0.0	33.26	Neural Network (Specific Model)	11	0.916	37169	360.54196959682747	3569248	0.61	3026	114	46933	None
bin_141	0.0	19.34	Neural Network (Specific Model)	11	0.877	38099	273.3357264957265	2724087	0.54	2925	82	57882	None
bin_142	99.99	101.28	Neural Network (Specific Model)	11	0.883	3262149	296.9918666733197	20167949	0.66	20041	81	4143590	None
bin_143	89.33	49.18	Neural Network (Specific Model)	11	0.808	117460	219.6571850393701	8240999	0.38	10160	84	1085409	None
bin_144	0.0	31.23	Neural Network (Specific Model)	11	0.88	38793	270.4453547435687	5615898	0.54	6103	161	107897	None
bin_145	0.0	50.15	Neural Network (Specific Model)	11	0.9	33542	327.8692628650904	3140151	0.66	2876	99	49248	None
bin_146	0.0	8.71	Neural Network (Specific Model)	11	0.799	36607	198.56882255389718	3141456	0.64	4221	99	59735	None
bin_147	0.0	19.55	Neural Network (Specific Model)	11	0.899	36393	368.8317191283293	3049437	0.65	2478	95	48345	None
bin_148	0.0	18.94	Neural Network (Specific Model)	11	0.936	37294	413.2362838332114	3617342	0.62	2734	108	56509	None
bin_149	0.85	13.95	Neural Network (Specific Model)	11	0.877	36042	259.64180672268907	3363893	0.59	3808	108	45325	None
bin_15	99.04	96.45	Gradient Boost (General Model)	11	0.894	4647456	317.7181269306375	15164934	0.56	14244	175	4984781	None
bin_150	99.69	103.16	Neural Network (Specific Model)	11	0.878	1504376	294.16530547641656	15827557	0.71	15795	63	4180083	None
bin_151	0.0	20.28	Neural Network (Specific Model)	11	0.92	34691	376.6765258215963	2612097	0.61	2130	92	43055	None
bin_152	0.0	15.87	Neural Network (Specific Model)	11	0.934	34650	319.5829899941142	3476627	0.66	3398	111	48551	None
bin_153	0.0	11.89	Neural Network (Specific Model)	11	0.88	36612	308.0073508623127	3709516	0.56	3537	123	46993	None
bin_154	0.0	20.36	Neural Network (Specific Model)	11	0.944	35710	432.4758211678832	3007976	0.62	2192	95	43850	None
bin_155	0.0	11.33	Neural Network (Specific Model)	11	0.895	34074	387.06968101579434	4182857	0.43	3229	143	48521	None
bin_156	0.02	18.31	Neural Network (Specific Model)	11	0.853	37533	286.14009661835746	2495610	0.65	2484	72	51522	None
bin_157	0.01	24.06	Neural Network (Specific Model)	11	0.907	36945	340.25516364791866	3534193	0.61	3147	107	51042	None
bin_158	0.0	17.03	Neural Network (Specific Model)	11	0.909	39015	321.3732993197279	2487122	0.61	2352	72	59104	None
bin_159	0.04	2.19	Neural Network (Specific Model)	11	0.86	17428	263.25796425796426	1180280	0.54	1287	65	40030	None
bin_16	100.0	16.97	Gradient Boost (General Model)	11	0.898	42848	324.798069055801	13248149	0.63	12222	267	3486241	None
bin_160	0.0	23.59	Neural Network (Specific Model)	11	0.91	37837	295.57093963907903	3125132	0.61	3214	95	51935	None
bin_161	0.0	18.11	Neural Network (Specific Model)	11	0.89	36764	336.53101004134675	1919460	0.59	1693	60	66987	None
bin_162	0.0	24.3	Neural Network (Specific Model)	11	0.839	37386	263.54002713704205	4852449	0.55	5159	159	56385	None
bin_163	33.69	19.6	Gradient Boost (General Model)	11	0.829	36549	264.21109474717724	1944888	0.59	2037	58	46618	Low confidence prediction - substantial (66%) disagreement between completeness prediction models
bin_164	0.0	29.11	Neural Network (Specific Model)	11	0.872	37669	277.98228941684664	2212418	0.6	2315	67	51200	None
bin_165	99.4	91.32	Neural Network (Specific Model)	11	0.852	501177	267.3953038871787	13103757	0.54	13969	65	4630141	None
bin_166	13.31	5.78	Neural Network (Specific Model)	11	0.927	37138	339.0425824175824	1593700	0.59	1456	49	46371	None
bin_167	0.0	17.19	Neural Network (Specific Model)	11	0.89	39725	301.44141893579814	4059563	0.57	4003	116	62993	None
bin_168	0.0	21.16	Neural Network (Specific Model)	11	0.886	39476	334.93727915194347	2565455	0.57	2264	79	56842	None
bin_169	0.0	7.76	Neural Network (Specific Model)	11	0.931	36593	341.1095238095238	1382269	0.68	1260	43	44116	None
bin_17	0.0	21.79	Neural Network (Specific Model)	11	0.887	33005	243.38808825404922	6428142	0.65	7841	207	69562	None
bin_170	0.0	24.67	Neural Network (Specific Model)	11	0.937	37117	359.1345699831366	3405953	0.67	2965	113	51083	None
bin_171	0.0	26.91	Neural Network (Specific Model)	11	0.903	35886	308.22132719601075	2666535	0.66	2607	88	46566	None
bin_172	0.0	33.05	Neural Network (Specific Model)	11	0.896	37787	302.6010512483574	3846403	0.56	3805	117	47958	None
bin_173	0.0	23.21	Neural Network (Specific Model)	11	0.801	38074	224.2946564885496	2740211	0.53	3275	83	65319	None
bin_174	0.0	22.16	Neural Network (Specific Model)	11	0.905	36834	303.8435114503817	2901152	0.6	2882	88	82022	None
bin_175	0.0	18.45	Neural Network (Specific Model)	11	0.923	36298	372.40190792202407	2913936	0.67	2411	93	45844	None
bin_176	0.0	49.72	Neural Network (Specific Model)	11	0.91	35557	291.97564575645754	2603511	0.67	2710	80	51878	None
bin_177	0.0	16.14	Neural Network (Specific Model)	11	0.918	36245	333.35984251968506	2762820	0.67	2540	89	50307	None
bin_178	0.0	36.31	Neural Network (Specific Model)	11	0.905	37665	338.2919397116645	3416237	0.57	3052	101	50203	None
bin_179	0.0	29.34	Neural Network (Specific Model)	11	0.922	37392	349.6582895723931	3029428	0.56	2666	95	51901	None
bin_18	0.0	31.13	Neural Network (Specific Model)	11	0.908	37850	324.2324858240351	5850833	0.66	5467	172	61402	None
bin_180	0.0	20.98	Neural Network (Specific Model)	11	0.883	38847	370.3543581616482	3956247	0.58	3155	115	49649	None
bin_181	0.0	17.64	Neural Network (Specific Model)	11	0.937	37987	353.02805118110234	2295153	0.62	2032	67	44924	None
bin_182	0.0	33.0	Neural Network (Specific Model)	11	0.885	38193	252.38826998689385	2607188	0.56	3052	78	50090	None
bin_183	0.0	43.11	Neural Network (Specific Model)	11	0.882	35851	287.15155986509274	4620038	0.56	4744	152	47579	None
bin_184	0.04	4.61	Neural Network (Specific Model)	11	0.909	35087	307.6870109546166	1295710	0.67	1278	45	43992	None
bin_185	0.0	13.51	Neural Network (Specific Model)	11	0.881	36052	311.414718888187	3352326	0.6	3166	107	46650	None
bin_186	0.0	30.19	Neural Network (Specific Model)	11	0.88	36796	314.78266178266176	3513028	0.6	3276	106	50648	None
bin_187	0.0	23.05	Neural Network (Specific Model)	11	0.872	36091	282.6903376018626	2500135	0.55	2577	79	44078	None
bin_188	0.0	22.42	Neural Network (Specific Model)	11	0.871	35743	334.9691011235955	2052665	0.6	1780	80	45169	None
bin_189	0.0	25.0	Neural Network (Specific Model)	11	0.893	38387	290.505698005698	1369012	0.56	1404	42	46341	None
bin_19	0.0	24.3	Neural Network (Specific Model)	11	0.901	36797	287.1996124031008	4439003	0.6	4644	143	47202	None
bin_190	0.0	24.37	Neural Network (Specific Model)	11	0.913	37218	326.50174216027875	2768267	0.61	2583	84	50314	None
bin_191	19.61	12.87	Neural Network (Specific Model)	11	0.828	36817	244.80029585798817	1792290	0.55	2028	53	45998	None
bin_192	100.0	9.06	Gradient Boost (General Model)	11	0.885	4429618	310.328233847835	7691828	0.56	7321	97	4429618	None
bin_193	0.0	27.22	Neural Network (Specific Model)	11	0.918	37910	321.5114401076716	3119563	0.61	2972	92	47962	None
bin_194	25.35	22.24	Gradient Boost (General Model)	11	0.899	25199	285.3052917232022	1400626	0.56	1474	61	38734	Low confidence prediction - substantial (74%) disagreement between completeness prediction models
bin_195	0.0	41.32	Neural Network (Specific Model)	11	0.905	36452	304.65056881552533	9035609	0.6	8966	263	587340	None
bin_2	6.42	80.71	Neural Network (Specific Model)	11	0.902	38673	343.31090522478735	15013894	0.67	13168	373	4252571	None
bin_20	29.33	99.83	Neural Network (Specific Model)	11	0.864	3783354	307.49613013249376	24404749	0.39	22869	433	4791311	None
bin_21	0.0	30.03	Neural Network (Specific Model)	11	0.903	45717	334.3699693196174	6148949	0.66	5541	125	1490434	None
bin_22	0.0	34.16	Neural Network (Specific Model)	11	0.932	37693	322.29218647406435	3151016	0.64	3046	92	58532	None
bin_23	0.0	17.79	Neural Network (Specific Model)	11	0.873	37462	317.9587203302374	2105135	0.6	1938	66	45802	None
bin_24	0.0	36.6	Neural Network (Specific Model)	11	0.898	35915	281.3408255583828	6636893	0.67	7074	207	52393	None
bin_25	0.0	20.61	Neural Network (Specific Model)	11	0.889	35976	321.4708205353225	4940841	0.67	4558	154	145915	None
bin_26	0.0	19.72	Neural Network (Specific Model)	11	0.908	30693	344.5121627598408	5142273	0.67	4522	164	51895	None
bin_27	0.0	17.79	Neural Network (Specific Model)	11	0.871	40568	319.6164941988084	3501154	0.57	3189	83	573442	None
bin_28	0.0	26.57	Neural Network (Specific Model)	11	0.925	30449	370.40643863179076	2983134	0.67	2485	100	53095	None
bin_29	0.0	12.69	Neural Network (Specific Model)	11	0.888	38412	280.1208826351135	2955297	0.59	3127	87	50306	None
bin_3	19.15	29.77	Gradient Boost (General Model)	11	0.91	37310	377.0601366742597	2725367	0.59	2195	86	64634	Low confidence prediction - substantial (80%) disagreement between completeness prediction models
bin_30	0.0	48.48	Neural Network (Specific Model)	11	0.907	37027	310.61966333252013	4206427	0.6	4099	128	49675	None
bin_31	0.0	27.94	Neural Network (Specific Model)	11	0.927	35681	337.03985209531635	5301902	0.68	4868	167	50619	None
bin_32	0.0	45.33	Neural Network (Specific Model)	11	0.887	39130	304.80837858805273	2650791	0.57	2578	81	49812	None
bin_33	0.0	20.27	Neural Network (Specific Model)	11	0.863	37465	290.11461218836564	2901801	0.55	2888	90	50348	None
bin_34	0.0	28.79	Neural Network (Specific Model)	11	0.895	31662	349.6436022253129	3368216	0.67	2876	106	52405	None
bin_35	0.0	28.36	Neural Network (Specific Model)	11	0.83	39215	317.85172504608903	4352005	0.55	3797	131	49353	None
bin_36	0.0	20.2	Neural Network (Specific Model)	11	0.915	34841	375.94713882473695	4788387	0.67	3897	150	51968	None
bin_37	97.29	86.08	Neural Network (Specific Model)	11	0.809	167153	232.94890905812346	14314149	0.35	16637	134	5252333	None
bin_38	0.0	25.65	Neural Network (Specific Model)	11	0.892	38284	305.6496679316888	4327058	0.56	4216	129	51107	None
bin_39	0.0	35.73	Neural Network (Specific Model)	11	0.918	37855	344.4014014014014	5610922	0.68	4995	160	269182	None
bin_4	0.0	34.41	Neural Network (Specific Model)	11	0.885	36104	378.09824856046066	10676000	0.41	8336	353	57181	None
bin_40	0.0	25.16	Neural Network (Specific Model)	11	0.863	37401	368.5489075630252	3807070	0.55	2975	115	45346	None
bin_41	0.0	18.59	Neural Network (Specific Model)	11	0.905	35897	335.1737789203085	2157771	0.67	1945	68	45739	None
bin_42	31.41	14.17	Gradient Boost (General Model)	11	0.811	39220	258.83595158382695	7413356	0.48	7766	214	112142	Low confidence prediction - substantial (68%) disagreement between completeness prediction models
bin_43	98.6	13.58	Gradient Boost (General Model)	11	0.888	5445672	317.1039090106007	9688558	0.56	9056	130	5445672	None
bin_44	0.0	44.85	Neural Network (Specific Model)	11	0.928	36854	374.51466992665036	3952461	0.61	3272	123	47676	None
bin_45	0.0	38.27	Neural Network (Specific Model)	11	0.908	36379	315.495311327832	5553670	0.67	5332	171	51223	None
bin_46	0.0	23.0	Neural Network (Specific Model)	11	0.916	31211	331.59753086419755	3954669	0.66	3645	130	48883	None
bin_47	0.0	26.8	Neural Network (Specific Model)	11	0.845	35350	310.17637947725075	5681150	0.66	5165	180	51132	None
bin_48	0.0	28.03	Neural Network (Specific Model)	11	0.92	36951	364.9603108520677	4282675	0.61	3603	132	53913	None
bin_49	0.0	104.49	Neural Network (Specific Model)	11	0.881	40284	337.16037221475045	63118826	0.39	55022	1351	5645530	None
bin_5	4.14	103.17	Neural Network (Specific Model)	11	0.878	46383	325.5090411086094	47847096	0.63	43081	969	6851010	None
bin_50	7.07	113.1	Neural Network (Specific Model)	11	0.86	337784	260.35986852047756	23960428	0.43	26468	157	3846919	None
bin_51	0.0	43.94	Neural Network (Specific Model)	11	0.881	37608	277.0356462585034	6919153	0.59	7350	215	56250	None
bin_52	0.0	29.11	Neural Network (Specific Model)	11	0.912	38520	355.32046230627793	4437204	0.56	3807	133	54586	None
bin_53	0.0	26.24	Neural Network (Specific Model)	11	0.905	29436	313.06565752128665	5474396	0.67	5285	187	49647	None
bin_54	0.0	27.64	Neural Network (Specific Model)	11	0.893	37203	308.9726763717805	4628827	0.6	4465	135	49154	None
bin_55	27.38	13.07	Gradient Boost (General Model)	11	0.864	38530	368.1776	3990739	0.57	3125	119	50559	Low confidence prediction - substantial (72%) disagreement between completeness prediction models
bin_56	98.03	98.15	Gradient Boost (General Model)	11	0.869	3328270	316.38372968901325	20276833	0.64	18586	135	3956330	None
bin_57	0.0	31.05	Neural Network (Specific Model)	11	0.889	39617	326.97970740915525	4668446	0.55	4238	137	51075	None
bin_58	0.0	33.5	Neural Network (Specific Model)	11	0.916	39931	353.239454899416	3557249	0.57	3082	101	54330	None
bin_59	0.0	22.59	Neural Network (Specific Model)	11	0.915	30719	348.6663296258847	3391136	0.67	2967	114	64986	None
bin_6	0.0	29.84	Neural Network (Specific Model)	11	0.848	37854	339.18968924016525	6668264	0.59	5567	196	48944	None
bin_60	0.0	24.02	Neural Network (Specific Model)	11	0.908	34980	340.0747914183552	3770981	0.67	3356	122	53543	None
bin_61	0.0	18.6	Neural Network (Specific Model)	11	0.884	37990	331.63589503280224	2396718	0.56	2134	75	51719	None
bin_62	0.0	23.03	Neural Network (Specific Model)	11	0.88	39164	360.55821159805225	2776661	0.57	2259	82	55314	None
bin_63	0.0	21.63	Neural Network (Specific Model)	11	0.905	34947	306.38568588469184	4589842	0.67	4527	151	50891	None
bin_64	0.0	19.36	Neural Network (Specific Model)	11	0.904	39499	339.715165336374	4940816	0.57	4385	143	58777	None
bin_65	0.0	32.48	Neural Network (Specific Model)	11	0.903	38633	348.24360902255637	3842282	0.55	3325	111	51872	None
bin_66	0.0	23.34	Neural Network (Specific Model)	11	0.921	34124	357.91498294410917	4436983	0.67	3811	142	57563	None
bin_67	0.0	14.12	Neural Network (Specific Model)	11	0.927	28171	337.90904017857144	1955587	0.68	1792	69	62476	None
bin_68	26.4	14.05	Gradient Boost (General Model)	11	0.915	36292	327.0747490755415	4053723	0.62	3786	126	47085	Low confidence prediction - substantial (73%) disagreement between completeness prediction models
bin_69	0.0	48.85	Neural Network (Specific Model)	11	0.876	35929	318.61830769230767	7081021	0.66	6500	216	76353	None
bin_7	59.34	107.75	Neural Network (Specific Model)	11	0.89	4920713	318.8287213560346	28433231	0.62	26489	355	4970127	Low confidence prediction - substantial (39%) disagreement between completeness prediction models
bin_70	0.0	23.44	Neural Network (Specific Model)	11	0.908	36925	291.8505062537225	3234060	0.6	3358	102	49506	None
bin_71	0.0	37.18	Neural Network (Specific Model)	11	0.888	38860	340.5862341772152	4356844	0.56	3792	123	57340	None
bin_72	0.0	19.13	Neural Network (Specific Model)	11	0.919	35632	268.91310020876824	3351927	0.65	3832	107	44658	None
bin_73	0.0	28.47	Neural Network (Specific Model)	11	0.891	36554	326.89275172187604	3354242	0.61	3049	100	54612	None
bin_74	0.0	46.54	Neural Network (Specific Model)	11	0.892	38816	292.8843198058514	7292422	0.55	7417	221	54838	None
bin_75	0.0	37.11	Neural Network (Specific Model)	11	0.886	37676	327.3895295625114	6038011	0.64	5463	187	57616	None
bin_76	0.0	30.86	Neural Network (Specific Model)	11	0.927	38195	363.46109030378693	2821788	0.57	2403	88	50079	None
bin_77	0.0	27.47	Neural Network (Specific Model)	11	0.859	39203	296.2789720780825	4176536	0.6	4047	126	49545	None
bin_78	0.0	20.26	Neural Network (Specific Model)	11	0.884	38431	297.2292404029404	3695789	0.55	3673	111	47420	None
bin_79	0.0	11.68	Neural Network (Specific Model)	11	0.926	37444	330.72959844559585	3301579	0.6	3088	100	48863	None
bin_8	0.0	12.85	Neural Network (Specific Model)	11	0.898	39158	302.57791586998087	4223417	0.55	4184	126	51556	None
bin_80	0.0	25.45	Neural Network (Specific Model)	11	0.877	36327	277.2247054043072	2326654	0.57	2461	78	49546	None
bin_81	0.08	17.46	Neural Network (Specific Model)	11	0.884	37318	320.96762589928056	3329422	0.6	3058	113	50694	None
bin_82	0.0	17.78	Neural Network (Specific Model)	11	0.911	37652	317.99704142011836	2476748	0.58	2366	78	48039	None
bin_83	29.36	12.12	Gradient Boost (General Model)	11	0.889	39215	333.6710050614606	3109989	0.56	2766	94	50712	Low confidence prediction - substantial (70%) disagreement between completeness prediction models
bin_84	0.0	35.18	Neural Network (Specific Model)	11	0.901	29187	291.89854125843675	4456249	0.67	4593	156	50541	None
bin_85	0.0	36.69	Neural Network (Specific Model)	11	0.915	37885	300.863921217547	3302095	0.61	3351	99	48350	None
bin_86	0.0	21.3	Neural Network (Specific Model)	11	0.915	36315	364.42699836867865	2926856	0.61	2452	87	47299	None
bin_87	0.0	17.17	Neural Network (Specific Model)	11	0.853	37824	302.53389830508473	2878890	0.54	2714	86	49900	None
bin_88	0.0	26.71	Neural Network (Specific Model)	11	0.914	38569	343.91829689298044	2940965	0.57	2607	89	48372	None
bin_89	0.0	19.68	Neural Network (Specific Model)	11	0.859	39121	289.1117111036112	2988585	0.55	2963	90	48575	None
bin_9	64.97	106.46	Neural Network (Specific Model)	11	0.856	93331	310.3730991394554	27636350	0.49	25449	551	4826006	Low confidence prediction - substantial (35%) disagreement between completeness prediction models
bin_90	0.0	29.15	Neural Network (Specific Model)	11	0.916	35932	267.89300960512276	3278260	0.6	3748	103	46874	None
bin_91	0.0	22.48	Neural Network (Specific Model)	11	0.918	37144	374.3469387755102	3708778	0.6	3038	110	47025	None
bin_92	0.0	27.95	Neural Network (Specific Model)	11	0.898	39864	343.54317299073796	3840707	0.56	3347	108	48910	None
bin_93	99.45	106.46	Neural Network (Specific Model)	11	0.801	1250552	255.6499582289056	18274592	0.41	19152	81	4740308	None
bin_94	0.0	28.88	Neural Network (Specific Model)	11	0.907	37298	331.1959841628959	3870588	0.67	3536	119	53745	None
bin_95	0.0	25.84	Neural Network (Specific Model)	11	0.89	36183	312.79869659666906	4354728	0.62	4143	141	45821	None
bin_96	0.0	19.34	Neural Network (Specific Model)	11	0.9	37880	314.9642857142857	2790948	0.6	2660	87	45366	None
bin_97	0.0	46.66	Neural Network (Specific Model)	11	0.926	30114	400.0722985229334	4999543	0.68	3859	166	58531	None
bin_98	0.0	17.58	Neural Network (Specific Model)	11	0.886	38373	354.609564876519	3061817	0.56	2551	89	51588	None
bin_99	0.0	15.2	Neural Network (Specific Model)	11	0.867	38996	293.31245698554716	1472289	0.55	1453	46	49950	None
